模型名称,准确率,精确率,召回率,F1分数
model_2.h5,0.9230769230769231,0.8928571428571429,0.9615384615384616,0.9259259259259259
model_4.h5,0.9134615384615384,0.8524590163934426,1.0,0.9203539823008849
model_1.h5,0.875,0.8362068965517241,0.9326923076923077,0.8818181818181818
model_3.h5,0.8413461538461539,0.7709923664122137,0.9711538461538461,0.8595744680851064
